"","id","species_name","comment","class","broad_taxa"
"1","Anastasiadi_et_al_2021","Chlamydomonas reinhardtii",NA,"Chlorophyceae","algae"
"2","Moore_et_al_2019","Rana arvalis","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Amphibia","amphibian"
"3","Moore_et_al_2019","Rana temporaria","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Amphibia","amphibian"
"4","Rowinski_and_Rogell_2017","Pseudophryne guentheri",NA,"Amphibia","amphibian"
"5","Rowinski_and_Rogell_2017","Rana lessonae",NA,"Amphibia","amphibian"
"6","Rowinski_and_Rogell_2017","Rana temporaria",NA,"Amphibia","amphibian"
"7","Rutkowska_et_al_2020","Xenopus laevis",NA,"Amphibia","amphibian"
"8","Rutkowska_et_al_2020","Galeolaria caespitosa",NA,"Polychaeta","annelid"
"9","Rutkowska_et_al_2020","Hydroides dirampha",NA,"Polychaeta","annelid"
"10","Yin_et_al_2019","Enchytraeus crypticus",NA,"Clitellata","annelid"
"11","Yin_et_al_2019","Galeolaria caespitosa",NA,"Polychaeta","annelid"
"12","Yin_et_al_2019","Hydroides elegans",NA,"Polychaeta","annelid"
"13","Rutkowska_et_al_2020","Cordylochernes scorpioides",NA,"Arachnida","arachnid"
"14","Yin_et_al_2019","Erigone dentipalpis",NA,"Arachnida","arachnid"
"15","Rutkowska_et_al_2020","Styela plicata",NA,"Ascidiacea","ascidian"
"16","Yin_et_al_2019","Styela plicata",NA,"Ascidiacea","ascidian"
"17","Anastasiadi_et_al_2021","Coturnix japonica",NA,"Aves","bird"
"18","Anastasiadi_et_al_2021","Gallus gallus",NA,"Aves","bird"
"19","Anastasiadi_et_al_2021","Gallus gallus",NA,"Aves","bird"
"20","Anastasiadi_et_al_2021","Hirundo rustica",NA,"Aves","bird"
"21","Anastasiadi_et_al_2021","Lamprotornis superbus",NA,"Aves","bird"
"22","Anastasiadi_et_al_2021","Parus major",NA,"Aves","bird"
"23","Anastasiadi_et_al_2021","Sialia sialis",NA,"Aves","bird"
"24","Grueber_et_al_2017","Coturnix japonica",NA,"Aves","bird"
"25","Grueber_et_al_2017","Gallus gallus",NA,"Aves","bird"
"26","Moore_et_al_2019","Acrocephalus arundinaceus","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Aves","bird"
"27","Moore_et_al_2019","Anser anser","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Aves","bird"
"28","Moore_et_al_2019","Aphelocoma coerulescens","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Aves","bird"
"29","Moore_et_al_2019","Haemorhous mexicanus","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Aves","bird"
"30","Moore_et_al_2019","Charadrius melodus","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Aves","bird"
"31","Moore_et_al_2019","Chlamydotis undulata","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Aves","bird"
"32","Moore_et_al_2019","Cinclus cinclus","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Aves","bird"
"33","Moore_et_al_2019","Coturnix japonica","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Aves","bird"
"34","Moore_et_al_2019","Cyanistes caeruleus","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Aves","bird"
"35","Moore_et_al_2019","Cygnus olor","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Aves","bird"
"36","Moore_et_al_2019","Ficedula albicollis","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Aves","bird"
"37","Moore_et_al_2019","Hirundo rustica","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Aves","bird"
"38","Moore_et_al_2019","Larus canus","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Aves","bird"
"39","Moore_et_al_2019","Melospiza melodia","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Aves","bird"
"40","Moore_et_al_2019","Parus major","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Aves","bird"
"41","Moore_et_al_2019","Phylloscopus nitidus","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Aves","bird"
"42","Moore_et_al_2019","Saxicola rubicola","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Aves","bird"
"43","Moore_et_al_2019","Sylvia atricapilla","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Aves","bird"
"44","Moore_et_al_2019","Taeniopygia guttata","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Aves","bird"
"45","Rowinski_and_Rogell_2017","Coturnix japonica",NA,"Aves","bird"
"46","Rowinski_and_Rogell_2017","Cyanistes caeruleus",NA,"Aves","bird"
"47","Rutkowska_et_al_2020","Gallus gallus",NA,"Aves","bird"
"48","Rutkowska_et_al_2020","Taeniopygia guttata",NA,"Aves","bird"
"49","Thayer_et_al_2018","Coturnix japonica",NA,"Aves","bird"
"50","Thayer_et_al_2018","Gallus gallus",NA,"Aves","bird"
"51","Urban_et_al_2020","Gallus gallus","latin names not given but only domestic species in list","Aves","bird"
"52","Yin_et_al_2019","Columba livia",NA,"Aves","bird"
"53","Yin_et_al_2019","Coturnix coturnix",NA,"Aves","bird"
"54","Yin_et_al_2019","Larus michahellis",NA,"Aves","bird"
"55","Yin_et_al_2019","Tachycineta bicolor",NA,"Aves","bird"
"56","Yin_et_al_2019","Taeniopygia guttata",NA,"Aves","bird"
"57","Snell_et_al_2012","Gallus gallus",NA,"Aves","bird"
"58","Snell_et_al_2012","Coturnix coturnix",NA,"Aves","bird"
"59","Yin_et_al_2019","Bugula neritina",NA,"Gymnolaemata","bryozoan"
"60","Yin_et_al_2019","Fredericella sultana",NA,"Phylactolaemata","bryozoan"
"61","Anastasiadi_et_al_2021","Acropora millepora",NA,"Hexacorallia","cnidarian"
"62","Yin_et_al_2019","Pocillopora damicornis",NA,"Hexacorallia","cnidarian"
"63","Anastasiadi_et_al_2021","Artemia franciscana",NA,"Branchiopoda","crustacean"
"64","Anastasiadi_et_al_2021","Daphnia magna",NA,"Branchiopoda","crustacean"
"65","Anastasiadi_et_al_2021","Gladioferens pectinatus",NA,"Maxillopoda","crustacean"
"66","Moore_et_al_2019","Porcellio laevis","data at https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.360v97q , file m2.main.csv","Malacostraca","crustacean"
"67","Yin_et_al_2019","Bythotrephes longimanus",NA,"Branchiopoda","crustacean"
"68","Yin_et_al_2019","Daphnia ambigua",NA,"Branchiopoda","crustacean"
"69","Yin_et_al_2019","Daphnia carinata",NA,"Branchiopoda","crustacean"
"70","Yin_et_al_2019","Daphnia cucullata",NA,"Branchiopoda","crustacean"
"71","Yin_et_al_2019","Daphnia magna",NA,"Branchiopoda","crustacean"
"72","Yin_et_al_2019","Daphnia pulex",NA,"Branchiopoda","crustacean"
"73","Yin_et_al_2019","Gammarus fasciatus",NA,"Malocostraca","crustacean"
"74","Yin_et_al_2019","Moina macrocopa",NA,"Branchiopoda","crustacean"
"75","Yin_et_al_2019","Palaemonetes pugio",NA,"Malacostraca","crustacean"
"76","Yin_et_al_2019","Tigriopus japonicus",NA,"Hexanauplia","crustacean"
